symbol,asset_name,sector,industry,first_traded,index_inclusion
CACC,CREDIT ACCEPTANCE CORP,Financial Services,Credit Services,1992-06-05,
SDRL,SEADRILL LTD,Energy,Oil & Gas Drilling,2022-10-14,
RUN,SUNRUN INC,Technology,Solar,2015-08-05,
WSFS,WSFS FINANCIAL CORP,Financial Services,Banks - Regional,1986-11-26,
FORM,FORMFACTOR INC,Technology,Semiconductor Equipment & Materials,2003-06-12,
LCII,LCI INDUSTRIES,Consumer Cyclical,Recreational Vehicles,1985-05-29,
WU,WESTERN UNION,Financial Services,Credit Services,2006-10-02,
SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Defensive,Packaged Foods,2017-07-10,
NCNO,NCINO INC,Technology,Software - Application,2020-07-14,
CRVL,CORVEL CORP,Financial Services,Insurance Brokers,1991-06-28,
ACLS,AXCELIS TECHNOLOGIES INC,Technology,Semiconductor Equipment & Materials,2000-07-11,
BWIN,BALDWIN INSURANCE GROUP INC CLASS,Financial Services,Insurance Brokers,2019-10-24,
HTLF,HEARTLAND FINANCIAL USA INC,Financial Services,Banks - Regional,1999-01-04,
HUBG,HUB GROUP INC CLASS A,Industrials,Integrated Freight & Logistics,1996-03-13,
