symbol,asset_name,sector,industry,first_traded,index_inclusion
JBI,"Janus International Group, Inc.",Industrials,Building Products & Equipment,2019-12-20,
NMRA,"Neumora Therapeutics, Inc.",Healthcare,Biotechnology,2023-09-14,
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,1980-03-17,
CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Cyclical,Restaurants,1981-11-05,
LMB,"Limbach Holdings, Inc.",Industrials,Building Products & Equipment,2014-08-08,
OCFC,OceanFirst Financial Corp.,Financial Services,Banks—Regional,1996-07-03,
SDGR,"Schrödinger, Inc.",Healthcare,Health Information Services,2020-02-06,
TWO,Two Harbors Investment Corp.,Real Estate,REIT—Mortgage,2009-10-30,
PNTG,"The Pennant Group, Inc.",Healthcare,Medical Care Facilities,2019-10-01,
SABR,Sabre Corporation,Technology,Software—Infrastructure,2014-04-17,
XRX,Xerox Holdings Corporation,Technology,Information Technology Services,1962-01-02,
ATSG,"Air Transport Services Group, Inc.",Industrials,Airlines,2003-07-23,
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Midstream,2014-05-08,
FA,First Advantage Corporation,Industrials,Specialty Business Services,2021-06-23,
HCI,"HCI Group, Inc.",Financial Services,Insurance—Property & Casualty,2008-09-15,
AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology,2014-09-03,
SXC,"SunCoke Energy, Inc.",Basic Materials,Coking Coal,2011-07-21,
BFC,Bank First Corporation,Financial Services,Banks—Regional,2003-10-15,
CENX,Century Aluminum Company,Basic Materials,Aluminum,1996-03-29,
HOV,"Hovnanian Enterprises, Inc.",Consumer Cyclical,Residential Construction,1983-09-07,
IMKTA,"Ingles Markets, Incorporated",Consumer Defensive,Grocery Stores,1987-09-22,
ARRY,"Array Technologies, Inc.",Technology,Solar,2020-10-15,
DAWN,"Day One Biopharmaceuticals, Inc.",Healthcare,Biotechnology,2021-05-27,
JACK,Jack in the Box Inc.,Consumer Cyclical,Restaurants,1992-03-05,
